dataset_%,origin_attr_%,dest_attr_%,or_bin_loaded_rows,dst_bin_loaded_rows,acc_bin_loaded_rows,or_bin_loaded_size (B),dst_bin_loaded_size (B),acc_bin_loaded_size (B),or_bin_load_time (s),dst_bin_load_time (s),acc_bin_load_time (s),time_filtering (s),time_write_bin (s),total_time (s),result_acc_size (B),num_threads,RAM_min (B),RAM_max (B),RAM_max-min (B)
2,att25,att50,1064,165,731115,8512,1320,11697840,0.000404998,0.000141582,0.0072209,0.00730597,0.00159987,0.0177709,2808960,16,4716081152,4737724416,21643264
2,att25,att75,1064,249,1103319,8512,1992,17653104,0.000291488,6.7895e-05,0.0123703,0.00905866,0.00203556,0.0249038,4238976,16,4690714624,4719693824,28979200
2,att25,att100,1064,333,1475523,8512,2664,23608368,0.000561222,0.000298661,0.0227839,0.009028,0.00177672,0.0358028,5668992,16,4697997312,4733091840,35094528
2,att50,att5,2172,14,62034,17376,112,992544,0.000769888,0.00018392,0.000849243,0.000865905,0.000234437,0.00396558,486528,16,4697096192,4698587136,1490944
2,att50,att25,2172,81,358911,17376,648,5742576,0.000754472,5.2722e-05,0.0047047,0.00390995,0.00152659,0.0119467,2814912,16,4696748032,4709482496,12734464
2,att50,att50,2172,165,731115,17376,1320,11697840,0.000774652,5.536e-05,0.00933334,0.00899192,0.0038718,0.0241757,5734080,16,4694077440,4720492544,26415104
2,att50,att75,2172,249,1103319,17376,1992,17653104,0.00034694,6.9036e-05,0.0134705,0.0206494,0.00583097,0.0416254,8653248,16,4693377024,4726923264,33546240
2,att50,att100,2172,333,1475523,17376,2664,23608368,0.000541253,8.5782e-05,0.0213619,0.0268591,0.0082218,0.0582854,11572416,16,4692459520,4737236992,44777472
2,att75,att5,3279,14,62034,26232,112,992544,0.00046783,5.1341e-05,0.000746134,0.00102967,0.000275822,0.00344261,734496,16,4693544960,4694921216,1376256
2,att75,att25,3279,81,358911,26232,648,5742576,0.00110822,0.000195558,0.00743821,0.0121766,0.00225597,0.0246071,4249584,16,4699742208,4716371968,16629760
2,att75,att50,3279,165,731115,26232,1320,11697840,0.000825119,0.000146939,0.0183172,0.015421,0.00351746,0.0392666,8656560,16,4702617600,4732739584,30121984
2,att75,att75,3279,249,1103319,26232,1992,17653104,0.000419635,6.9449e-05,0.0134398,0.0413441,0.0114872,0.0679368,13063536,16,4708986880,4749950976,40964096
2,att75,att100,3279,333,1475523,26232,2664,23608368,0.000253207,6.8177e-05,0.0132324,0.020332,0.00562891,0.0400163,17470512,16,4720136192,4771454976,51318784
2,att100,att5,4387,14,62034,35096,112,992544,0.000900014,0.000145621,0.00211919,0.00557514,0.00147958,0.0116496,982688,16,4700749824,4704358400,3608576
2,att100,att25,4387,81,358911,35096,648,5742576,0.000861476,0.000140764,0.0112553,0.0209614,0.00346888,0.0378112,5685552,16,4702760960,4721827840,19066880
2,att100,att50,4387,165,731115,35096,1320,11697840,0.000980132,0.000151807,0.0194542,0.0203292,0.00680203,0.0490228,11581680,16,4704501760,4736925696,32423936
2,att100,att75,4387,249,1103319,35096,1992,17653104,0.000894267,3.9041e-05,0.01448,0.0456361,0.0072436,0.0693713,17477808,16,4707225600,4769181696,61956096
